trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
78707020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10012122,shp-100-02,1
99426070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
79621020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
99581070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
7971020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
91276070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
79796020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10015152,shp-100-02,1
91745010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
80065070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
72657020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10012121,shp-100-02,1
80071070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
73340070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1008870,shp-100-02,1
80115010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000770,shp-100-02,1
71679020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
72603020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10015152,shp-100-02,1
72134020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
82504010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000220,shp-100-02,1
72326010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000220,shp-100-02,1
83167070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000660,shp-100-02,1
69820010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
73937010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
70171020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
74143020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
70824020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
74181070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
71215020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000770,shp-100-02,1
74627070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
62159070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
7511010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000330,shp-100-02,1
62204010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000330,shp-100-02,1
75644010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000330,shp-100-02,1
69040020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000440,shp-100-02,1
449010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000660,shp-100-02,1
6911020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000550,shp-100-02,1
45231070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000660,shp-100-02,1
62902020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10010100,shp-100-02,1
45503020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000990,shp-100-02,1
63088010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000660,shp-100-02,1
45848020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
63483020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10012121,shp-100-02,1
45947020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,10012122,shp-100-02,1
68151010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1007910,shp-100-02,1
47138070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000110,shp-100-02,1
68271070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000880,shp-100-02,1
47783010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,"A",1,1000770,shp-100-02,1
